row_index_in_batch,y_true,y_pred,confidence,anomaly_score,model_error,priority_score,selection_reasons,batch_index,participants
68,1,0,0.906972348690033,13.728129784737163,1,28.287164488880077,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7
238,0,0,0.9077672362327576,13.439844633130924,0,22.85473676147072,"anomalous_high_confidence,drift_batch",1,P7
56,2,0,0.9388317465782166,9.281650680016128,1,21.617445831798523,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7
69,1,0,0.8599199056625366,6.094352511569661,1,16.836498579128826,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7
147,0,0,0.9203888177871704,8.123161562176584,0,14.87971215503921,"anomalous_high_confidence,drift_batch",1,P7
245,0,0,0.8697587847709656,7.934879484200774,0,14.597289038075495,"anomalous_high_confidence,drift_batch",1,P7
241,0,0,0.8939759135246277,6.351813273062976,0,12.222689721368797,"anomalous_high_confidence,drift_batch",1,P7
247,0,0,0.8684974908828735,6.036721233306056,0,11.750051661733417,"anomalous_high_confidence,drift_batch",1,P7
10,2,1,0.27879276871681213,1.729721604856421,1,4.137384274340709,"low_confidence,drift_batch",1,P7
88,1,0,0.2810075581073761,3.0586566832457325,1,4.132954695559581,"low_confidence,drift_batch",1,P7
38,2,3,0.2855106294155121,2.013939193498029,1,4.123948552943309,"low_confidence,drift_batch",1,P7
14,2,3,0.2916174530982971,2.6672716654784563,1,4.111734905577739,"low_confidence,drift_batch",1,P7
54,2,3,0.29164788126945496,2.8650661341965584,1,4.111674049235424,"low_confidence,drift_batch",1,P7
81,1,0,0.2927510440349579,2.958773586741758,1,4.109467723704418,"low_confidence,drift_batch",1,P7
18,2,3,0.29294106364250183,1.9704143838539434,1,4.10908768448933,"low_confidence,drift_batch",1,P7
117,1,1,0.2954050898551941,2.5169391428162813,0,4.104159632063945,"low_confidence,drift_batch",1,P7
211,0,0,0.2956392765045166,2.6054659944858045,0,4.1036912587653,"low_confidence,drift_batch",1,P7
39,2,3,0.29726365208625793,3.885881400196401,1,4.100442507601818,"low_confidence,drift_batch",1,P7
80,1,3,0.30427467823028564,3.560028757618868,1,4.086420455313762,"low_confidence,drift_batch",1,P7
16,2,0,0.30668801069259644,1.3027320208583621,1,4.081593790389141,"low_confidence,drift_batch",1,P7
1,2,0,0.3097487688064575,3.4211728756170663,1,4.075472274161418,"low_confidence,drift_batch",1,P7
19,2,0,0.31051063537597656,2.0548550262920116,1,4.07394854102238,"low_confidence,drift_batch",1,P7
58,2,3,0.31395331025123596,2.578409490339836,1,4.0670631912718616,"low_confidence,drift_batch",1,P7
17,2,3,0.3159162998199463,2.6410703344883557,1,4.063137212134441,"low_confidence,drift_batch",1,P7
30,0,0,0.9596322178840637,13.683689360132515,0,23.496273946726383,"anomalous_high_confidence,drift_batch",2,P7
1,0,0,0.8929375410079956,13.364272600911354,0,23.017148807894642,"anomalous_high_confidence,drift_batch",2,P7
92,2,0,0.8533807992935181,8.176178346172316,1,20.235007425786087,"anomalous_high_confidence,overconfident_error,drift_batch",2,P7
56,0,0,0.9267066717147827,10.742923180823414,0,19.085124677762735,"anomalous_high_confidence,drift_batch",2,P7
217,0,0,0.8553004264831543,9.616261693431674,0,17.395132446675124,"anomalous_high_confidence,drift_batch",2,P7
55,0,0,0.9031294584274292,9.277585727325986,0,16.887118497516592,"anomalous_high_confidence,drift_batch",2,P7
31,0,0,0.9365697503089905,8.785035020230499,0,16.148292436873362,"anomalous_high_confidence,drift_batch",2,P7
114,1,1,0.2768184542655945,3.2676939132840457,0,4.417102997996424,"low_confidence,drift_batch",2,P7
71,2,0,0.2815723121166229,3.862052461574256,1,4.407595282294367,"low_confidence,drift_batch",2,P7
79,2,1,0.2844943702220917,3.8508816441854994,1,4.40175116608343,"low_confidence,drift_batch",2,P7
78,2,0,0.2868623435497284,2.945569274668349,1,4.397015219428156,"low_confidence,drift_batch",2,P7
198,1,0,0.28923213481903076,2.3274588674308614,1,4.3922756368895515,"low_confidence,drift_batch",2,P7
21,0,0,0.28990817070007324,3.043708411637475,0,4.3909235651274665,"low_confidence,drift_batch",2,P7
70,2,1,0.2929505407810211,2.824927600690356,1,4.384838824965571,"low_confidence,drift_batch",2,P7
186,1,0,0.29685163497924805,1.168371590999403,1,4.377036636569117,"low_confidence,drift_batch",2,P7
145,2,1,0.2986064553260803,2.6607712791182045,1,4.373526995875452,"low_confidence,drift_batch",2,P7
20,0,0,0.30145782232284546,2.0027802958960086,0,4.367824261881922,"low_confidence,drift_batch",2,P7
100,2,0,0.3081471920013428,2.6036574778253265,1,4.3544455225249274,"low_confidence,drift_batch",2,P7
116,1,0,0.32485437393188477,4.3526342329976755,1,4.3210311586638435,"low_confidence,drift_batch",2,P7
252,0,0,0.32909345626831055,3.151730183288204,0,4.312552993990992,"low_confidence,drift_batch",2,P7
144,2,0,0.3313598930835724,3.086270914566877,1,4.308020120360468,"low_confidence,drift_batch",2,P7
72,2,0,0.333320289850235,4.013493791543338,1,4.304099326827143,"low_confidence,drift_batch",2,P7
248,0,0,0.3353132903575897,3.2220325025434393,0,4.3001133258124336,"low_confidence,drift_batch",2,P7
187,1,0,0.3360764980316162,2.806917975816569,1,4.298586910464381,"low_confidence,drift_batch",2,P7
30,0,0,0.9019303321838379,11.912442165847063,0,17.868663248770595,anomalous_high_confidence,3,"P11,P7"
9,0,0,0.9027528762817383,9.562251129573045,0,14.343376694359568,anomalous_high_confidence,3,"P11,P7"
40,0,0,0.8993237018585205,8.544297272229072,0,12.816445908343606,anomalous_high_confidence,3,"P11,P7"
50,0,0,0.8777158856391907,7.7933722240454255,0,11.690058336068137,anomalous_high_confidence,3,"P11,P7"
19,0,0,0.8659192323684692,7.701826129878496,0,11.552739194817743,anomalous_high_confidence,3,"P11,P7"
41,0,0,0.8692729473114014,7.567812730452075,0,11.351719095678112,anomalous_high_confidence,3,"P11,P7"
12,0,0,0.8600754141807556,7.433317254621818,0,11.149975881932725,anomalous_high_confidence,3,"P11,P7"
22,0,0,0.8720993995666504,4.446212221831722,0,6.669318332747583,anomalous_high_confidence,3,"P11,P7"
210,0,2,0.26715943217277527,1.3529025454133603,1,1.4656811356544495,low_confidence,3,"P11,P7"
229,0,2,0.26758551597595215,0.8916622415346007,1,1.4648289680480957,low_confidence,3,"P11,P7"
254,0,2,0.27142366766929626,1.004566492259753,1,1.4571526646614075,low_confidence,3,"P11,P7"
255,0,2,0.2752346396446228,0.9413737015893604,1,1.4495307207107544,low_confidence,3,"P11,P7"
237,0,2,0.27586647868156433,0.9847713921330693,1,1.4482670426368713,low_confidence,3,"P11,P7"
233,0,3,0.277384877204895,1.1086070461936295,1,1.44523024559021,low_confidence,3,"P11,P7"
246,0,3,0.2787013649940491,1.580171075742691,1,1.4425972700119019,low_confidence,3,"P11,P7"
126,2,2,0.2789427638053894,1.7501865486908714,0,1.4421144723892212,low_confidence,3,"P11,P7"
124,2,2,0.2798771262168884,1.1538408657482553,0,1.4402457475662231,low_confidence,3,"P11,P7"
245,0,3,0.279984712600708,1.0107339753939635,1,1.440030574798584,low_confidence,3,"P11,P7"
222,0,2,0.2808908224105835,0.7272293240472889,1,1.438218355178833,low_confidence,3,"P11,P7"
250,0,2,0.28324756026268005,0.8389902586916486,1,1.43350487947464,low_confidence,3,"P11,P7"
127,2,2,0.28386610746383667,1.1055147433019719,0,1.4322677850723267,low_confidence,3,"P11,P7"
110,2,3,0.2845127582550049,1.3879142456677946,1,1.4309744834899902,low_confidence,3,"P11,P7"
141,2,3,0.2856128513813019,1.4001111914366107,1,1.4287742972373962,low_confidence,3,"P11,P7"
109,2,2,0.28582677245140076,1.728748730330382,0,1.4283464550971985,low_confidence,3,"P11,P7"
120,0,0,0.933798611164093,5.425001318244763,0,9.721171197649735,"anomalous_high_confidence,drift_batch",4,P11
137,0,0,0.8908964395523071,5.231923843921274,0,9.431554986164501,"anomalous_high_confidence,drift_batch",4,P11
68,0,0,0.9581726789474487,5.13910652450882,0,9.29232900704582,"anomalous_high_confidence,drift_batch",4,P11
69,0,0,0.8807743787765503,4.355382875336922,0,8.116743533287973,"anomalous_high_confidence,drift_batch",4,P11
162,2,0,0.2539879381656647,1.7552936540118722,1,3.0756933439512615,"low_confidence,drift_batch",4,P11
207,1,3,0.25668805837631226,2.0788520083124684,1,3.0702931035299663,"low_confidence,drift_batch",4,P11
131,0,3,0.258260041475296,2.0743247834756247,1,3.067149137331999,"low_confidence,drift_batch",4,P11
150,2,2,0.2592458724975586,0.8896561987624502,0,3.0651774752874736,"low_confidence,drift_batch",4,P11
43,0,3,0.26002147793769836,2.2009363979182806,1,3.063626264407194,"low_confidence,drift_batch",4,P11
180,2,2,0.2620868682861328,2.596455412600968,0,3.059495483710325,"low_confidence,drift_batch",4,P11
156,2,2,0.26405754685401917,1.745802137109156,0,3.0555541265745525,"low_confidence,drift_batch",4,P11
249,2,3,0.26547449827194214,1.486345197996576,1,3.0527202237387066,"low_confidence,drift_batch",4,P11
237,2,0,0.2656346559524536,1.264557180832526,1,3.0523999083776836,"low_confidence,drift_batch",4,P11
81,0,3,0.2686346471309662,2.3602700603433444,1,3.0463999260206585,"low_confidence,drift_batch",4,P11
32,0,3,0.26892587542533875,1.221637788247099,1,3.0458174694319133,"low_confidence,drift_batch",4,P11
229,3,2,0.26904022693634033,1.1883332881776714,1,3.04558876640991,"low_confidence,drift_batch",4,P11
230,3,3,0.2702995538711548,1.640887183428398,0,3.0430701125402813,"low_confidence,drift_batch",4,P11
222,3,0,0.27076825499534607,1.468267657762981,1,3.0421327102918987,"low_confidence,drift_batch",4,P11
163,2,2,0.27203917503356934,1.0627889053371167,0,3.039590870215452,"low_confidence,drift_batch",4,P11
164,2,2,0.27319368720054626,2.107340137446095,0,3.0372818458814983,"low_confidence,drift_batch",4,P11
189,2,2,0.2740553915500641,1.21779043242538,0,3.0355584371824627,"low_confidence,drift_batch",4,P11
144,2,2,0.2743304669857025,1.1641891621864728,0,3.035008286311186,"low_confidence,drift_batch",4,P11
14,0,3,0.27442556619644165,1.962822818354494,1,3.0348180878897075,"low_confidence,drift_batch",4,P11
48,0,3,0.27509063482284546,2.755805835686272,1,3.0334879506369,"low_confidence,drift_batch",4,P11
198,3,0,0.26282191276550293,1.9964747792753488,1,2.7614064383076933,"low_confidence,drift_batch",5,P11
211,0,0,0.26335930824279785,2.7096802560103685,0,2.7603316473531034,"low_confidence,drift_batch",5,P11
181,1,0,0.2648968994617462,1.81983688906367,1,2.7572564649152067,"low_confidence,drift_batch",5,P11
180,1,2,0.26546114683151245,1.7451862797045825,1,2.7561279701756742,"low_confidence,drift_batch",5,P11
161,2,3,0.26568958163261414,1.954634372271494,1,2.755671100573471,"low_confidence,drift_batch",5,P11
222,0,2,0.26574692130088806,1.5123306818038222,1,2.755556421236923,"low_confidence,drift_batch",5,P11
69,2,2,0.2668616473674774,3.081332608968046,0,2.7533269691037443,"low_confidence,drift_batch",5,P11
70,2,3,0.2670116126537323,3.480229266565762,1,2.7530270385312345,"low_confidence,drift_batch",5,P11
118,2,2,0.2674846053123474,0.9755777303399991,0,2.7520810532140043,"low_confidence,drift_batch",5,P11
29,2,2,0.2675846815109253,1.1928014563736031,0,2.7518809008168486,"low_confidence,drift_batch",5,P11
63,2,2,0.26830169558525085,2.685702242580747,0,2.7504468726681974,"low_confidence,drift_batch",5,P11
206,3,2,0.2686324417591095,1.4394217954864288,1,2.74978538032048,"low_confidence,drift_batch",5,P11
253,0,1,0.26944583654403687,1.795892697282736,1,2.7481585907506254,"low_confidence,drift_batch",5,P11
34,2,1,0.27004995942115784,2.3412084092849543,1,2.7469503449963835,"low_confidence,drift_batch",5,P11
66,2,2,0.27043694257736206,0.8614067458559587,0,2.746176378683975,"low_confidence,drift_batch",5,P11
30,2,2,0.2709396183490753,1.0782257628911713,0,2.7451710271405485,"low_confidence,drift_batch",5,P11
132,2,2,0.2709764540195465,0.8890841183342023,0,2.745097355799606,"low_confidence,drift_batch",5,P11
38,2,2,0.27108851075172424,1.1584358908832615,0,2.7448732423352507,"low_confidence,drift_batch",5,P11
191,3,0,0.2713276147842407,0.831176123140036,1,2.7443950342702177,"low_confidence,drift_batch",5,P11
160,2,3,0.2718914747238159,2.0289059462603367,1,2.7432673143910673,"low_confidence,drift_batch",5,P11
16,2,2,0.2725308835506439,1.2478558701466045,0,2.7419884967374113,"low_confidence,drift_batch",5,P11
156,2,2,0.2738240361213684,2.6155951442065315,0,2.7394021915959623,"low_confidence,drift_batch",5,P11
96,2,0,0.27429673075675964,1.4783744988741947,1,2.73845680232518,"low_confidence,drift_batch",5,P11
81,2,0,0.27434319257736206,1.2196859334760635,1,2.738363878683975,"low_confidence,drift_batch",5,P11
3,0,3,0.2611006498336792,2.1599508499050515,1,1.4777987003326416,low_confidence,6,"P11,P18"
56,0,2,0.2640462815761566,1.9386099694114078,1,1.4719074368476868,low_confidence,6,"P11,P18"
0,0,3,0.2641686797142029,1.6661531380285424,1,1.4716626405715942,low_confidence,6,"P11,P18"
44,0,0,0.2678789794445038,1.9322541521494392,0,1.4642420411109924,low_confidence,6,"P11,P18"
60,0,1,0.2742733359336853,2.1392606463677017,1,1.4514533281326294,low_confidence,6,"P11,P18"
57,0,0,0.2743239402770996,1.5550830913836364,0,1.4513521194458008,low_confidence,6,"P11,P18"
26,0,2,0.27481406927108765,1.3223846062590598,1,1.4503718614578247,low_confidence,6,"P11,P18"
203,2,2,0.27495571970939636,1.7965195532767422,0,1.4500885605812073,low_confidence,6,"P11,P18"
137,2,3,0.2749612629413605,1.873189140469895,1,1.450077474117279,low_confidence,6,"P11,P18"
163,2,2,0.2749936282634735,1.291606605241126,0,1.450012743473053,low_confidence,6,"P11,P18"
239,1,2,0.27654093503952026,1.3735843891226356,1,1.4469181299209595,low_confidence,6,"P11,P18"
236,1,2,0.27916765213012695,1.061400205083312,1,1.441664695739746,low_confidence,6,"P11,P18"
23,0,2,0.2793392241001129,1.4311301149167086,1,1.4413215517997742,low_confidence,6,"P11,P18"
170,2,2,0.2802143394947052,1.3239638231567337,0,1.4395713210105896,low_confidence,6,"P11,P18"
40,0,2,0.28194519877433777,2.1972276881632946,1,1.4361096024513245,low_confidence,6,"P11,P18"
54,0,1,0.2819458246231079,2.1090811174732917,1,1.4361083507537842,low_confidence,6,"P11,P18"
207,2,2,0.28198426961898804,1.4392609337012048,0,1.436031460762024,low_confidence,6,"P11,P18"
254,3,2,0.2823009490966797,1.289412440857082,1,1.4353981018066406,low_confidence,6,"P11,P18"
128,2,2,0.2824610769748688,0.907620898720384,0,1.4350778460502625,low_confidence,6,"P11,P18"
182,2,2,0.2846861481666565,1.0278076352916432,0,1.430627703666687,low_confidence,6,"P11,P18"
